CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,BalanceSalaryRatio,TenureAgeRatio,ProductUtilizationRate,AgeBalanceInteraction,EngagementScore,CreditScoreCategory,ComplaintCount
619,0,1,42,2,0.0,1,1,1,101348.88,1,0.0,0.046511627906976744,0.333,0.0,2.25,1,0
608,2,1,41,1,83807.86,1,0,1,112542.58,0,0.745,0.023809523809523808,0.5,3436122.2600000002,1.25,1,2
502,0,1,42,8,159660.8,3,1,0,113931.57,1,1.401,0.18604651162790697,0.333,6705753.6,1.75,1,0
699,0,1,39,1,0.0,2,0,0,93826.63,0,0.0,0.025,1.0,0.0,0.5,1,0
850,2,1,43,2,125510.82,1,1,1,79084.1,0,1.587,0.045454545454545456,0.333,5396965.260000001,2.25,0,0
645,2,0,44,8,113755.78,2,1,0,149756.71,1,0.76,0.17777777777777778,0.222,5005254.32,1.5,1,1
822,0,0,50,7,0.0,2,1,1,10062.8,0,0.0,0.13725490196078433,0.25,0.0,2.5,0,1
376,1,1,29,4,115046.74,4,1,0,119346.88,1,0.964,0.13333333333333333,0.8,3336355.46,2.0,2,2
501,0,0,44,4,142051.07,2,0,1,74940.5,0,1.895,0.08888888888888889,0.4,6250247.08,1.5,1,0
684,0,0,27,2,134603.88,1,1,1,71725.73,0,1.877,0.07142857142857142,0.333,3634304.7600000002,2.25,1,0
528,0,0,31,6,102016.72,2,0,0,80181.12,0,1.272,0.1875,0.286,3162518.32,0.5,1,0
497,2,0,24,3,0.0,2,1,0,76390.01,0,0.0,0.12,0.5,0.0,1.5,2,0
476,0,1,34,10,0.0,2,1,0,26260.98,0,0.0,0.2857142857142857,0.182,0.0,1.5,2,0
549,0,1,25,5,0.0,2,0,0,190857.79,0,0.0,0.19230769230769232,0.333,0.0,0.5,1,0
635,2,1,35,7,0.0,2,1,1,65951.65,0,0.0,0.19444444444444445,0.25,0.0,2.5,1,1
616,1,0,45,3,143129.41,2,0,1,64327.26,0,2.225,0.06521739130434782,0.5,6440823.45,1.5,1,0
653,1,0,58,1,132602.88,1,1,0,5097.67,1,26.007,0.01694915254237288,0.5,7690967.04,1.25,1,0
549,2,1,24,9,0.0,2,1,1,14406.41,0,0.0,0.36,0.2,0.0,2.5,1,0
587,2,0,45,6,0.0,1,0,0,158684.81,0,0.0,0.13043478260869565,0.143,0.0,0.25,1,1
726,0,1,24,6,0.0,2,1,1,54724.03,0,0.0,0.24,0.286,0.0,2.5,0,0
732,0,0,41,8,0.0,2,1,1,170886.17,0,0.0,0.19047619047619047,0.222,0.0,2.5,0,0
636,2,1,32,8,0.0,2,1,0,138555.46,0,0.0,0.24242424242424243,0.222,0.0,1.5,1,0
