feature,importance
Age,0.23712367176310792
AgeBalanceInteraction,0.10479267059523786
NumOfProducts,0.1004778311178955
TenureAgeRatio,0.0847055537191542
EstimatedSalary,0.06842057264398581
Balance,0.06384693286771909
EngagementScore,0.06262622844148139
BalanceSalaryRatio,0.059977526515709895
ProductUtilizationRate,0.04986292016129437
IsActiveMember,0.04064463297231399
Tenure,0.031759398455090515
Gender,0.026262790455649207
Geography,0.021963915026789533
CreditScoreCategory,0.021407021241283096
ComplaintCount,0.013511127455774218
HasCrCard,0.012617206567513514
